ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Classification
GO:0008064	regulation of actin polymerization or depolymerization	1/823	27/65628	0.037037037037037	2.9534224382341	1.14408886894711	0.288798239011901	0.496185943795378	0.452017299470907	ENSMUSG00000058230(Arhgap35)	1	biological_process
GO:0008076	voltage-gated potassium channel complex	1/823	127/65628	0.0078740157480315	0.627892959309612	-0.473023501726098	0.798959476207466	0.843025222880587	0.767982223997641	ENSMUSG00000040407(Akap9)	1	cellular_component
GO:0008080	N-acetyltransferase activity	2/823	50/65628	0.04	3.18969623329283	1.74552762258909	0.130028898977404	0.468540312922619	0.426832580787245	ENSMUSG00000063273(Naa15)/ENSMUSG00000024293(Esco1)	2	molecular_function
GO:0008083	growth factor activity	5/823	220/65628	0.0227272727272727	1.81232740528002	1.36007841030238	0.144452276676331	0.468540312922619	0.426832580787245	ENSMUSG00000037428(Vgf)/ENSMUSG00000034394(Lif)/ENSMUSG00000020817(Rabep1)/ENSMUSG00000023951(Vegfa)/ENSMUSG00000040888(Gfer)	5	molecular_function
GO:0008088	axo-dendritic transport	1/823	56/65628	0.0178571428571429	1.42397153272001	0.357691344915049	0.506878594801857	0.626036678561845	0.570309200314549	ENSMUSG00000043991(Pura)	1	biological_process
GO:0008089	anterograde axonal transport	2/823	71/65628	0.028169014084507	2.24626495302312	1.1840415885098	0.223711272824203	0.4769325926345	0.434477810683828	ENSMUSG00000000838(Fmr1)/ENSMUSG00000047905(Gm8566)	2	biological_process
GO:0008090	retrograde axonal transport	2/823	73/65628	0.0273972602739726	2.18472344746084	1.14133317000395	0.232953291604826	0.477995975588345	0.435446535205575	ENSMUSG00000026131(Dst)/ENSMUSG00000018707(Dync1h1)	2	biological_process
GO:0008091	spectrin	1/823	30/65628	0.0333333333333333	2.65808019441069	1.02366486156853	0.315231463210016	0.51053088058263	0.465085302844918	ENSMUSG00000020315(Sptbn1)	1	cellular_component
GO:0008092	cytoskeletal protein binding	4/823	287/65628	0.0139372822299652	1.11139241578147	0.213128053566434	0.485668314904504	0.613187887176181	0.558604160991613	ENSMUSG00000026270(Capn10)/ENSMUSG00000026208(Des)/ENSMUSG00000058056(Palld)/ENSMUSG00000038175(Mylip)	4	molecular_function
GO:0008094	ATP-dependent activity, acting on DNA	2/823	134/65628	0.0149253731343284	1.19018516167643	0.248350596587921	0.502205629402523	0.623511336987673	0.568008655341696	ENSMUSG00000020914(Top2a)/ENSMUSG00000024921(Smarca2)	2	molecular_function
GO:0008097	5S rRNA binding	3/823	274/65628	0.0109489051094891	0.873092034660446	-0.237227488956515	0.669455792598073	0.747987284058095	0.681404212284476	ENSMUSG00000080895(Gm11645)/ENSMUSG00000041560(Nop53)/ENSMUSG00000096722(Hmgb1-ps9)	3	molecular_function
GO:0008137	NADH dehydrogenase (ubiquinone) activity	1/823	75/65628	0.0133333333333333	1.06323207776428	0.0617459866312412	0.612102012912559	0.700713662888764	0.638338714673395	ENSMUSG00000020153(Ndufs7)	1	molecular_function
GO:0008138	protein tyrosine/serine/threonine phosphatase activity	3/823	74/65628	0.0405405405405405	3.23280023644544	2.16572378904975	0.0662835891540722	0.418033924235498	0.380822084710405	ENSMUSG00000034354(Mtmr3)/ENSMUSG00000024190(Dusp1)/ENSMUSG00000034765(Dusp5)	3	molecular_function
GO:0008139	nuclear localization sequence binding	2/823	84/65628	0.0238095238095238	1.89862871029335	0.928731974855903	0.284002945936213	0.496185943795378	0.452017299470907	ENSMUSG00000021929(Kpna3)/ENSMUSG00000074909(Ranbp6)	2	molecular_function
