id	baseMean	log2FoldChange	pvalue	padj	Direction
ENSMUSG00000026123(Plekhb2)	59.1796114145813	-0.450708021400778	0.274825603658436	0.477618780268817	No
ENSMUSG00000045216(Hs6st1)	47.049625670694	-0.126704378709928	0.776329176080531	0.873700654305871	No
ENSMUSG00000016179(Camk1g)	0.455746403302295	-0.369808278340075	0.933380741856639	NA	No
ENSMUSG00000037470(Uggt1)	19.6899731664403	1.0987552013176	0.112649347446348	0.270765043091854	No
ENSMUSG00000026640(Plxna2)	12.9950047746141	1.13546141593668	0.183421215540512	NA	No
ENSMUSG00000026578(Ccdc181)	1.02639598655223	3.31298334139762	0.330592384911991	NA	No
ENSMUSG00000026577(Blzf1)	0.899732908424921	1.24083425495293	0.690213482174377	NA	No
ENSMUSG00000026305(Lrrfip1)	80.6519060783821	0.529175451389645	0.162608010139272	0.344960132072355	No
ENSMUSG00000026575(Nme7)	0.966051717782268	1.12447012160409	0.711528471890534	NA	No
ENSMUSG00000026576(Atp1b1)	63.9134261248088	0.108590453041443	0.780169481070885	0.875403377426206	No
ENSMUSG00000025969(Nrp2)	52.6693312016489	0.393482823786011	0.354276519492529	0.560737048946382	No
