Species	Au_1	Au_2	Au_3	Au_4	Au_5	Au_6	HC_De_1	HC_De_2	HC_De_3	HC_Sp_1	HC_Sp_2	HC_Sp_3	HLB_De_1	HLB_De_2	HLB_De_3	HLB_Sp_1	HLB_Sp_2	HLB_Sp_3	sus_HLB_1	sus_HLB_2	sus_HLB_3	sus_HLB_4	sus_HLB_5	sus_HLB_6
Pseudomonas fluorescens	1	3	7.495	3	3.998	3	1	0	0	55.656	0	6	2	0	17.459	53.578	12.235	184.827	0	0	3	2	0	40
Pseudomonas fluorescens	4	0	1	0	2	1	0	2	0	20.315	6	0	2	0	5.753	17.262	2	63.863	2	0	7.39	0	1	44
Pseudomonas fluorescens	1	1	3	0	0	1	2	2	1	31	3	2	0	0	5	19	3	86	0	0	1	1.258	0	41
Pseudomonas fluorescens	1.267	1	1.32	0	2	0	0	2.253	2	16.652	2.785	2.235	4	1.162	4.582	18.389	1	84.134	0	3	3	0	1	53.972
Pseudomonas fluorescens	3	2	9.847	4.543	3	2.679	3.521	8	1.529	43.576	4.27	4	5.692	12	6.733	37.055	4.532	147.988	1	5.747	4	1	2	67
Burkholderia lata	8	14	4	7	9	11	15	14.31	12	1	5	4	8	5	16	16	5	11.106	0	0	0	0	0	0
Burkholderia lata	4	11	7	1	107	2	1	12	7	3	1	6	5	0	1	7	7	30	0	0	2	3	4	2
Burkholderia lata	3	6	5	3	33	1	0	1	3	1	1	5	4	2	1	3	2	10	2	1	1	1	2	0
Burkholderia lata	4	4	2	0	40	0	0	1	1	4	2	0	3	0	1	2	0	7	0	0	0	0	0	0
Burkholderia lata	2	7	1	0	1	0	0	2	0	0	0	2	2	1	1	0	0	4	0	0	0	0	1	0
Burkholderia lata	1.038	7.272	11	3	68.468	4.248	1.043	1.075	1.008	6.499	0	2.185	5.686	7.228	3.21	5.344	4	10.044	10.478	3.353	9.977	6.991	4.404	2.487
